course,author,rating,reviews,hours,lessons,level,price
The SQL Mega Course - From Beginner to SQL Master.,Roi Levy,"4,0",15,5,47,Principiante,"14,99"
The Complete SQL Bootcamp for Beginners: Hands-On Oracle SQL,"Ankit Mistry, Vijay Gadhave","4,4",15,9,80,Todos los niveles,"14,99"
Microsoft SQL - Getting Started With The T SQL Basics,Martyn Blythin,"4,4",14,3,65,Principiante,"14,99"
Oracle SQL PLSQL Training Online Tutorial Course,Koduru Sridevi,"3,7",14,95,25,Todos los niveles,"24,99"
Mastering Introductory SQL Made Easy Training Tutorial,"TeachUcomp, Inc.","4,4",14,45,46,Principiante,"14,99"
Using  SQL for Data Science,Bluelime Learning Solutions,"4,3",14,4,45,Principiante,"14,99"
SQL Programming for Data Analysis and Software Development,Ankit Srivastava,"3,9",13,255,119,Principiante,"14,99"
Intermediate SQL Course,Luis M. Sanchez,"2,7",13,15,20,Principiante,"14,99"
SQL Server Database Performance Monitoring and Tuning,Gangadhar Gawande,"3,5",13,25,33,Todos los niveles,"14,99"
Getting Started with Google CloudSQL,Architect Big Data,"3,1",13,2,19,Todos los niveles,"14,99"
PHP 5 and 7 &amp; SQL Queries with MySQL database hands on,Frank Ako,"4,5",13,14,84,Principiante,"14,99"
Introduction to Microsoft SQL Server Application Development,Bluelime Learning Solutions,"4,2",12,1,19,Principiante,"14,99"
The Complete SSIS to SQL Server Database Bootcamp,Gary Cowan,"4,2",12,1,17,Principiante,"14,99"
SQL Bootcamp - Hands-On Exercises - SQLite - Part II,Paweł Krakowiak,"4,5",12,4,297,Principiante,"14,99"
SQL Fundamentals for Oracle Functional Consultants,Kabeer Khan,"4,2",11,25,33,Todos los niveles,"19,99"
Mastering SQL using Postgresql,"Durga Viswanatha Raju Gadiraju, Hindu Varma Datla","4,2",11,95,105,Todos los niveles,"14,99"
Using BIzTalk with SQL Databases,Neal Walters,"4,6",11,8,51,Intermedio,"14,99"
SQL Made Easy for Beginners,Arun Motoori,"4,6",10,32,127,Principiante,"14,99"
T-SQL For Beginner Data Analysts,Serhii Lehkyi,"4,2",10,35,48,Principiante,"14,99"
SQL: Business Intelligence with SQL: 2-in-1,Packt Publishing,"4,4",10,5,37,Principiante,"14,99"
Python 3000: SQLite Quick-Start,Randall Nagy,"4,0",9,2,22,Intermedio,"14,99"
Oracle SQL Tuning Indexes,Valter José de Aquino,"3,9",9,4,24,Intermedio,"14,99"
Introduction to using SQL for Reporting,Bluelime Learning Solutions,"4,4",9,4,39,Principiante,"14,99"
Complete SQL Bootcamp using PostgreSQL.,Gaurav Chauhan,"4,2",8,6,84,Todos los niveles,"14,99"
SQL Fundamentals for Business Intelligence,Packt Publishing,"4,2",8,2,16,Intermedio,"14,99"
SQL Fundamentals for Data Analysts,Ben Sullins,"4,3",8,42,13,Principiante,"14,99"
How to Extract Data from Multiple  Oracle Tables Using SQL,Bluelime Learning Solutions,"3,6",7,2,18,Principiante,"14,99"
Exam 70-761: Query data with advanced Transact-SQL Component,Vandana Soni,"4,4",7,5,23,Intermedio,"14,99"
Learn SQL in an hour,Tushar Bhalla,"4,3",7,1,16,Principiante,"14,99"
How to build SQL Queries with Logical and SET Operator,Bluelime Learning Solutions,"4,4",7,15,23,Principiante,"14,99"
Learn SQL with PostgreSql Database [ SQL In A Lunch Break ],AKINCI Training,"3,8",7,43,33,Todos los niveles,"14,99"
SQL Essentials For Beginners Using  Command Line Interface,Bluelime Learning Solutions,"4,3",6,15,20,Principiante,"14,99"
Oracle SQL Hands-On Experience for beginners,Bluelime Learning Solutions,"3,9",6,2,21,Principiante,"14,99"
SQL on Impala,Narayana Y Kulkarni,"3,4",6,1,7,Todos los niveles,"14,99"
"SQL 2014 Developer P3: Partitions, Queries and XML",Integrity Training,"3,5",5,5,50,Todos los niveles,"14,99"
Learn Dynamic SQL,Brad Hill,"3,3",5,2,17,Intermedio,"14,99"
Oracle Database SQL and PLSQL Basics,Sreeram ERPTech,"4,6",5,105,24,Principiante,"14,99"
SQL For Non-Technical Users,Chip Reaves,"4,7",5,15,11,Principiante,"14,99"
Intuitive SQL Databases Case Study,Ezz El Din Abdullah,"3,7",4,31,19,Todos los niveles,"14,99"
Google BigQuery: Learn Professional SQL for Big Data,Oliver Ma,"3,5",4,2,56,Todos los niveles,"14,99"
Databases &amp; SQL - Introduction Course for Oracle SQL,Matei Dogeanu,"5,0",4,25,28,Principiante,"14,99"
"Java 3000: SQL &amp; SQLite, Part II (SQL3)",Randall Nagy,"2,7",4,3,19,Intermedio,"14,99"
SQL BootCamp - Learn MySQL for Data Analysis,"Sandra Ezike, Orezime Learning","4,7",3,15,98,Principiante,"14,99"
"Java 2000: SQL, and SQLite (SQL2)",Randall Nagy,"3,0",3,3,29,Todos los niveles,"14,99"
Software Developer Interview Guide: Must Know SQL Questions,"Mammoth Interactive, John Bura","4,5",3,5,58,Principiante,"14,99"
Learn SQL Fast: A Crash Course on SQL with MySQL Databases,Van Jordan,"4,3",3,2,14,Todos los niveles,"14,99"
Crash Course on SQL Queries Made Easy For New Developers,Thangu(Thangeswari) N,"4,0",3,1,7,Principiante,"14,99"
Learn SQL from Scratch and Be a Master,Coders GUID,"4,8",3,95,154,Todos los niveles,"14,99"
SQL Server Triggers &amp; Views Unpacked: A beginner's guide,Valuetech Academy,"2,9",2,2,23,Principiante,"14,99"
Introduction to SQL,House of Code,"4,4",2,35,28,Principiante,"14,99"
Create An Online Poll Maker From Scratch: PHP and MySQLI,Eric Tam,"4,1",2,6,83,Intermedio,"14,99"
Faster SQL Mastery,Jonathan Szeto,"4,6",2,5,6,Intermedio,"14,99"
"SQL for Dummies, BA, DA, developers and Job Seekers",Ritz R,"2,7",2,2,8,Todos los niveles,"14,99"
SQL Server for complete beginners (7 hours of practice),"O.Thuillier | SQL | Postgres | Powershell| MySQL | Administration,TSQL, and SQL Server performance.","3,9",2,75,137,Principiante,"14,99"
Learn the in-demand job of DBA SQL Server(18 hours of class),"O.Thuillier | SQL | Postgres | Powershell| MySQL | Administration,TSQL, and SQL Server performance.","3,0",2,18,227,Principiante,"14,99"
SQL for Advanced SAS Programming : Learn Hand-On,Handson .,"2,5",1,2,27,Todos los niveles,"14,99"
SQL for Data Analysts/Data Scientists &amp; Real World Projects,Data team,"3,0",1,25,26,Principiante,"14,99"
SQL &amp; PostgreSQL for Beginners: Learn the SQL Fundamentals,Zaki Khurshid,"5,0",1,8,67,Todos los niveles,"14,99"
SQL 2014 Developer P2: VS 2012 and Data Types,Integrity Training,"4,0",1,85,104,Todos los niveles,"14,99"
A comprehensive course on SQL with 100+ solved problems,Wandering Monk,"5,0",1,55,80,Todos los niveles,"14,99"
Data Scientist SQL Interview Questions,Kira Liu,"5,0",1,1,13,Todos los niveles,"14,99"
Introduction to SQL for business and data analysts,Kelechi Emenike,"4,5",1,25,33,Principiante,"14,99"
SQL Tutorial or SQL Journey for Intermediate / Level 2,Rajnees Kumar,"5,0",1,4,23,Intermedio,"14,99"
SQL Server: The complete course on Indexes (4 h of class),"O.Thuillier | SQL | Postgres | Powershell| MySQL | Administration,TSQL, and SQL Server performance.","5,0",1,35,29,Principiante,"14,99"
Exam 70-761: Program Database by using Transact-SQL,Vandana Soni,"5,0",1,75,35,Intermedio,"14,99"
How to generate  SQL Insert / Update queries from Excel,Bluelime Learning Solutions,,0,25,28,Principiante,"14,99"
Come and challenge the Transact SQL with these 50 exercises,"O.Thuillier | SQL | Postgres | Powershell| MySQL | Administration,TSQL, and SQL Server performance.",,0,2,71,Principiante,"14,99"
The Complete SQL Course - Go from Beginner to Expert,Yehonatan Cohen,,0,45,64,Todos los niveles,"14,99"
The Complete  SQL Series with Real time examples,Shakzee Arain,,0,25,31,Principiante,"14,99"
Implementation of projects - SQL,Azael Nav,,0,15,24,Intermedio,"14,99"
Teach yourself SQL Step by Step,Sam Parulekar,,0,3,24,Todos los niveles,"14,99"
The Complete 2021 SQL Bootcamp - Data Querying Essentials,Dean Taylor,,0,115,118,Todos los niveles,"14,99"
Databases and SQL Mastery,Mor Sagmon,,0,7,21,Todos los niveles,"14,99"
Learn the in-demand job of developer SQL (12h of class),"O.Thuillier | SQL | Postgres | Powershell| MySQL | Administration,TSQL, and SQL Server performance.",,0,125,241,Principiante,"14,99"
SQL Server Integration Services,QuickStart Learning Inc.,,0,15,52,Intermedio,"14,99"
"A,B,C of MySQL - An In-depth guide",Moyukh Mazumder,,0,1,5,Principiante,"14,99"
SQL Server 2019 : Administration SQL Server Part 2,"O.Thuillier | SQL | Postgres | Powershell| MySQL | Administration,TSQL, and SQL Server performance.",,0,55,55,Intermedio,"14,99"
SQL Server 2019 : Administration SQL Server Part 3,"O.Thuillier | SQL | Postgres | Powershell| MySQL | Administration,TSQL, and SQL Server performance.",,0,5,45,Principiante,"14,99"
Exploring SQL Server 2016: Fundamentals,Integrity Training,,0,4,45,Todos los niveles,"14,99"
SQL Server: Configuring and modifying a database on SQL,"O.Thuillier | SQL | Postgres | Powershell| MySQL | Administration,TSQL, and SQL Server performance.",,0,25,28,Principiante,"14,99"
SQL for the SAS Programmer/Analyst,Up Degree,,0,2,57,Intermedio,"14,99"
Exploring SQL Server 2016: Intermediate,Integrity Training,,0,5,54,Intermedio,"14,99"
99 queries to master SQL in less than 4 hours!,"O.Thuillier | SQL | Postgres | Powershell| MySQL | Administration,TSQL, and SQL Server performance.",,0,5,94,Principiante,"14,99"
SQL for Non-Starters on postgresql,Narayana Y Kulkarni,,0,35,29,Principiante,"14,99"
"Joins, partition functions, and CTE in Transact SQL 2019.","O.Thuillier | SQL | Postgres | Powershell| MySQL | Administration,TSQL, and SQL Server performance.",,0,3,41,Principiante,"14,99"
The Advanced SQL Server Masterclass For Data Analysis,Travis Cuzick,,0,7,72,Experto,"14,99"
Introduction to Databases and SQL Querying,Rakesh Gopalakrishnan,"4,5",36568,25,11,Principiante,Gratis
Advanced Databases and SQL Querying,Rakesh Gopalakrishnan,"4,5",10840,35,27,Intermedio,Gratis
Free SQL 101 Class Bootcamp Beginners Intro to SQL NYC,Shivgan Joshi,"4,2",1496,15,17,Principiante,Gratis
SQL Foundations,Sagar Uppuluri,"4,4",987,3,59,Principiante,Gratis
SQL Crash Course : PostgreSQL for Beginners,Start-Tech Academy,"4,3",782,15,16,Principiante,Gratis
SQL Tutorial for Beginners - Learn SQL using 30 scenarios,Valuetech Academy,"4,3",736,25,34,Principiante,Gratis
Baseball Database Queries with SQL and dplyr,Charles Redmond,"4,3",612,3,30,Principiante,Gratis
Learn SQL in a simplified manner,Parteek Bhatia,"4,5",586,2,15,Principiante,Gratis
Introduction to SQL Using TeamSQL,"Can Abacigil, Katie Horne","4,5",405,33,8,Principiante,Gratis
SQL for Data Analysis: Solving real-world problems with data,Max SQL,"4,5",364,2,48,Principiante,Gratis
SQL 101: A Beginners Guide to SQL,"Sean Coyne, Jules Malin","4,3",252,1,5,Principiante,Gratis
Step by Step Practical Oracle SQL with real life exercises,Ramesh R,"4,7",230,4,37,Principiante,Gratis
New in Big Data: Apache HiveMall - Machine Learning with SQL,Elena Akhmatova,"4,7",213,32,7,Principiante,Gratis
SQL Beginner's Level Course,Alexander Shafe,"4,6",133,2,5,Principiante,Gratis
SQL Crash Course for Aspiring Data Scientist,Bob Wakefield,"4,3",132,15,20,Principiante,Gratis
Database Analysis and Design Using SQL 2014 - for Beginners,Mohammed Wuhaidi,"4,1",86,15,16,Principiante,Gratis
SQL Mastery &amp; Data Analysis,Maverick Learning,"3,8",42,15,6,Principiante,Gratis
Beginner's Introduction to SQL and Databases,Oscar Valles,"4,4",29,2,33,Principiante,Gratis
Fundamentals of SQL,"Ajay Dhruv, Sharvari Satose, Sejal Shriyan, Sejal Jadhav","4,6",27,2,16,Principiante,Gratis
Animated SQl for Beginners,Shantanu Soni,"4,2",26,2,57,Principiante,Gratis
DATABASE SQL Queries Hands-on Training with MS SQL SERVER,Mazhar Hussain,"4,3",25,2,24,Todos los niveles,Gratis
SQL in Sixty,James Ford,"4,7",15,1,13,Principiante,Gratis
Linked List &amp; SQL Interview Questions,Ashok Kumar Dhulipalla,"3,4",6,40,11,Intermedio,Gratis
Build SQL Queries with Excel from scratch,Bluelime Learning Solutions,"5,0",1,2,20,Principiante,Gratis
SQL  : Solve real-world data problems with SQL Queries,Bluelime Learning Solutions,"5,0",1,2,24,Principiante,Gratis
Introduction to SQL,Michael Da Costa,,0,2,18,Principiante,Gratis
"O curso completo de Banco de Dados e SQL, sem mistérios!",Felipe Mafra,"4,6",26846,58,309,Principiante,"14,99"
Aprenda SQL do Zero! ,"Tiago Bacciotti Moreira, Lucas Bacciotti Moreira, José Lucas Baciotti","4,6",4875,75,70,Principiante,"14,99"
はじめてのSQL ・データ分析入門 -データベースのデータをビジネスパーソンが現場で活用するためのSQL初心者向コース,"中村祐太 （Yuta Nakamura）, Proglus（プログラス） プログラミング教室","4,5",3197,75,144,Principiante,"14,99"
Uygulamalarla SQL Öğreniyorum,"Ömer Çolakoğlu, Veri Bilimi Okulu","4,6",2704,65,68,Principiante,"14,99"
SQL для начинающих: с нуля до сертификата Oracle,Zaur Tregulov,"4,8",1979,30,158,Principiante,"14,99"
SQL Kursu : Sıfırdan Sektörün Yükseklerine | 2020,Engin Demiroğ,"4,7",1841,8,79,Todos los niveles,"14,99"
SQL - Bootcamp: Lerne MySQL in 2 Wochen,"Jannis Seemann, Jannis Seemann (CodingCourses.TV)","4,6",1461,75,108,Intermedio,"14,99"
Banco de dados Expert:  Linguagem SQL  e Administração.,André Rosa,"4,5",1329,34,164,Todos los niveles,"14,99"
C# ile DevExpress'de SQL Tabanlı Ticari Otomasyon Geliştirin,Murat Yücedağ,"4,5",1215,175,147,Todos los niveles,"14,99"
SQL pour la Data Science de A à Z (analyse de data réelles),"Rod | Python - SQL - Data Science - Machine Learning - Deep Learning, MonCoachData | Data Science - Machine Learning - Deep Learning - Trading","4,5",1075,115,136,Todos los niveles,"14,99"
3時間で学ぶ SQL ・データベース 超入門【丁寧な解説+演習問題で SQL データ抽出の基本が身につく】標準 SQL,ひらまつ しょうたろう,"4,5",1057,35,126,Principiante,"14,99"
Formação SQL Server 2017 Desenvolvedor Expert SQL e T-SQL,André Rosa,"4,5",960,215,121,Intermedio,"14,99"
Die komplette SQL Masterclass: Vom Anfänger zum Profi,"Jannis Seemann (CodingCourses.TV), Jannis Seemann","4,7",937,235,250,Principiante,"14,99"
Начальный курс SQL,Vlad Burmistrov,"4,7",739,75,74,Principiante,"14,99"
SQL - Cours Complet - Apprendre SQL de A à Z,Zakariyaa ISMAILI,"4,5",689,5,43,Principiante,"14,99"
"SQL lernen, schnell und einfach",Marco Eder,"4,6",679,25,45,Todos los niveles,"14,99"
Sorgularla Adım Adım SQL Veri Tabanı Programlama,Murat Yücedağ,"4,7",630,105,110,Todos los niveles,"14,99"
Curso Completo de Banco de Dados e SQL para Iniciantes,"Diego Davila, Bruno Albuquerque Scrignoli","4,7",616,45,40,Principiante,"14,99"
SQL - język zapytań do bazy danych SQL Server,Dariusz Skórniewski,"4,5",597,65,33,Principiante,"14,99"
SQL SERVER - Aprenda o poder da linguagem T-SQL.,Wolney Marconi Maia,"4,7",572,155,73,Principiante,"14,99"
Практический курс для новичков по SQL и PostgreSQL,"Илья Фофанов, DevSchool • Progressive Training Solutions","4,6",521,215,146,Todos los niveles,"14,99"
Modelagem do Banco de Dados MySQL e linguagem SQL do ZERO,Becode ,"4,2",474,2,27,Principiante,"14,99"
Das SQL Grundlagen Bootcamp (auch für Data Science),"Dr. René Brunner, Datamics GmbH","4,4",470,9,108,Principiante,"14,99"
Sıfırdan Uygulamalı SQL Veri Tabanı Dersleri: MySQL &amp; MsSQL,Sadık Turan,"4,5",407,8,54,Principiante,"14,99"
SQL pour débutants (l'essentiel par la pratique),"Rod | Python - SQL - Data Science - Machine Learning - Deep Learning, MonCoachData | Data Science - Machine Learning - Deep Learning - Trading","4,8",374,25,31,Principiante,"14,99"
BigQuery で学ぶ非エンジニアのための SQL データ分析入門,和廣 木田,"4,6",354,11,94,Principiante,"14,99"
Alıştırmalarla SQL Öğreniyorum,"Ömer Çolakoğlu, Veri Bilimi Okulu","4,8",335,85,84,Intermedio,"14,99"
C#+SQL الدورة الشاملة لمطورى تطبيقات سطح المكتب  برمجة+تسويق,Mahmoud Bakr,"4,8",327,815,449,Todos los niveles,"14,99"
Reporting Services - Relatórios SQL com seu o Banco de Dados,Felipe Mafra,"4,6",278,8,47,Todos los niveles,"14,99"
"Основы SQL: SELECT, JOIN, DML, DDL, TCL, DCL",DevStudy .net,"4,3",275,55,11,Principiante,"14,99"
Davud Hoca ile SQL,Davud Hoca,"3,3",269,5,64,Intermedio,"14,99"
Curso Completo: SQL para Análise de Dados,Caio Avelino,"4,7",264,115,107,Todos los niveles,"14,99"
Curso de SQL Completo - Aplicado ao Mercado de Trabalho,"João Paulo de Lira, Gabriel Rodrigues de Lira","4,6",251,12,70,Todos los niveles,"14,99"
101 requêtes pour maîtriser SQL en moins de 3 heures,Matthieu GASTON,"4,6",249,25,33,Principiante,"14,99"
"Tout comprendre du SQL ! Formation complète et rapide (3,5h)",Bryan P.,"4,4",234,35,61,Principiante,"14,99"
Banco de Dados e ANSI SQL para iniciantes,Jackson Pires,"4,5",190,3,42,Principiante,"14,99"
"SQL Server pour les (grands) débutants, 8 heures de pratique","O.Thuillier | SQL | Postgres | Powershell| MySQL |Azure Administration,TSQL, et performance SQL Server.","4,6",189,8,124,Principiante,"14,99"
SQL para Profissionais Analíticos,Mauricio Boesche,"4,7",178,3,18,Todos los niveles,"14,99"
Vollständige SQL Masterclass – Schnell &amp; Einfach zum Profi,Nikolai Schuler,"4,6",174,10,128,Principiante,"14,99"
SQL/MySQL Database Developer: Zero to Expert||Hindi|Urdu||,Dr. Ahmad Mohsin PhD,"3,8",161,175,183,Todos los niveles,"14,99"
Teoria de Bancos de Dados: Do Zero a Graduação!,"Júlio Alcântara Tavares, M.Sc., Data Engineering Academy","4,6",157,85,36,Todos los niveles,"14,99"
成為初級資料分析師 | SQL 資料分析入門 | Introduction to SQL,Yao-Jen Kuo,"4,6",155,6,67,Principiante,"14,99"
SQL Grundlagen: Lerne Datenbanken (MySQL) schnell &amp; einfach!,Saif Al-Dilaimi,"4,3",140,9,81,Principiante,"14,99"
Sql Tuning - Melhore a Performance em seu código !,Pedro F Carvalho,"4,2",126,10,84,Todos los niveles,"24,99"
SQL для Анализа Данных с Глебом Михайловым,Gleb Mikhaylov,"4,9",121,6,51,Todos los niveles,"14,99"
Banco de Dados SQL Avançado - Curso Completo!,"Diego Davila, Bruno Albuquerque Scrignoli","4,2",112,12,80,Todos los niveles,"14,99"
Oracle Database 12c Introduction to SQL/ بالعربي,Khaled Alkhudari,"4,9",109,30,125,Todos los niveles,"14,99"
SQL инъекции и тестирование баз данных для начинающих,Mefodiy Kelevra,"3,9",104,1,15,Principiante,"14,99"
Certificação Oracle 1Z0-071 Oracle Database Sql,Pedro F Carvalho,"4,4",95,16,70,Experto,"19,99"
Impariamo da Zero il SQL e il PL/pgSQL con PostgreSQL,Nicola La Rocca,"4,4",90,105,126,Intermedio,"14,99"
"SQL e Banco de Dados para DataScience, sem mistérios!",Felipe Mafra,"4,3",84,5,26,Principiante,"14,99"
Dominando o SQL e POWER BI na PRÁTICA,"Juracy Araujo de Almeida Junior, MSc Grimaldo Lopes de Oliveira","3,9",79,95,40,Intermedio,"14,99"
SQL Para O Programador/Analista SAS,Ermin Dedic,"4,5",77,15,26,Principiante,"14,99"
SQL für Data Analytics mit T-SQL: Der Komplettkurs,Henning Lange,"4,2",71,95,108,Todos los niveles,"14,99"
BigQueryで学ぶ！SQLの基本：初学者からすらすらデータ抽出できるまで,Dan Saito,"4,6",70,35,36,Principiante,"14,99"
Microsoft SQL per Principianti,Alaaeldin AbdelMohsen,"3,8",70,4,42,Principiante,"14,99"
MySQLでデータベース基礎とSQLをゼロから学ぶ！挫折させないSQL講座,HIROKI KIKUSHIGE,"4,2",67,55,29,Principiante,"39,99"
SQL Course In Nepali - By Bishworaj Poudel,Bishworaj Poudel,"4,8",67,35,10,Principiante,"14,99"
Sistema de Vendas com Visual Studio 2017,Hugo Vasconcelos,"4,1",66,65,72,Todos los niveles,"14,99"
SQL do básico ao avançado (com MySQL e Projeto),Matheus Battisti,"4,8",62,165,269,Todos los niveles,"14,99"
Big Data: Analiza danych przy użyciu SQL oraz BigQuery,Paweł Krakowiak,"4,5",61,95,79,Principiante,"14,99"
Microsoft SQL SERVER ||Sıfırdan İleri Seviyeye SQL Server,BOZ Training,"3,7",56,13,99,Todos los niveles,"14,99"
SQL Server Query For beginners,Abdulwahab Allohayb,"4,3",54,45,27,Principiante,"24,99"
Corso Base di SQL per Oracle,Michele Piazzolla,"3,8",52,35,45,Principiante,"14,99"
文系ビジネスパーソンのためのはじめて学ぶSQL(超入門レベル),セム Mayumi Shinya,"4,3",51,15,19,Principiante,"14,99"
Apprenez le métier de DEVELOPPEUR sur SQL (11h de pratique),"O.Thuillier | SQL | Postgres | Powershell| MySQL |Azure Administration,TSQL, et performance SQL Server.","4,5",48,11,285,Principiante,"14,99"
Learn SQL(structured query language)  in Urdu/Hindi,Shakzee Arain,"3,8",47,3,28,Todos los niveles,"14,99"
誰でもわかる データベース基礎,栄一郎 荒川,"4,0",47,3,20,Principiante,"14,99"
SQL Oracle na Prática para INICIANTES,Juracy Araujo de Almeida Junior,"4,7",45,6,28,Principiante,"14,99"
SQL Facile,Francesco Desiderio,"4,4",42,35,50,Principiante,"14,99"
SQL ОТ ДЖЕИМСА,Александр Петров,"3,9",41,5,28,Todos los niveles,"14,99"
Базовый курс SQL для аналитиков и менеджеров,Максим Кухарь,"4,6",40,2,24,Principiante,"14,99"
VB.net &amp; SQL,Mohamed Saad,"4,3",40,4,26,Intermedio,"14,99"
SQL Server : L'administration d'un serveur SQL Partie 1,"O.Thuillier | SQL | Postgres | Powershell| MySQL |Azure Administration,TSQL, et performance SQL Server.","4,5",40,55,69,Intermedio,"14,99"
Aprenda SQL Fácil - Curso Completo com POSTGRE SQL,Marciel José,"4,1",39,3,32,Principiante,"14,99"
Banco de Dados: Da modelagem à SQL,Tadeu Pereira,"5,0",39,85,73,Principiante,"14,99"
Curso de SQL Completo Com o Banco de Dados Firebird,Professor Edivam Cabral,"4,9",39,6,62,Intermedio,"24,99"
初学者向けSQL,清野克行 清野,"3,7",37,65,30,Principiante,"14,99"
SQL et Data Visualization - Le Cours Complet,Raffi Sarkissian | SQL | PostgreSQL | Metabase,"4,6",36,45,53,Principiante,"14,99"
SQL Profissional Efetivo - Economize tempo,Renan Shin Iti Matsushita,"4,4",36,2,29,Todos los niveles,"14,99"
Kurs tworzenia zapytań w języku SQL z użyciem SQL Server.,K Projects,"4,7",31,85,35,Principiante,"14,99"
Datenbanken und SQL,Christopher Olbertz,"4,1",31,14,136,Principiante,"14,99"
Linguagem SQL  e T-SQL na prática - Desenvolvendo Soluções,André Rosa,"4,3",30,95,62,Todos los niveles,"14,99"
SQL Essencial!,Otavino Mota,"4,6",29,2,20,Principiante,"14,99"
Başlangıç ve Orta Seviye SQL Server Öğrenin,Erdal ANGİLİ,"3,9",29,2,16,Principiante,"14,99"
#1 - MsSQL Server - Solidne Podstawy,Andrzej Śmigielski,"3,2",28,15,25,Principiante,"14,99"
SQL Para Iniciantes,"Thearlismar Araújo, Thyago Curcino","4,4",26,15,26,Principiante,"14,99"
Lógica de programação e bancos de dados SQL,Leonardo Assuane Duarte,"4,7",25,9,28,Principiante,"14,99"
SQL完全掌握 -  從資料庫建立到成為資料處理高手,彬華 黃,"4,6",25,5,36,Principiante,"14,99"
BigQueryで学ぶ！実践SQLデータ分析：ITサービス改善につなげよう,Dan Saito,"4,1",23,7,50,Intermedio,"14,99"
พื้นฐานการเขียน SQL สำหรับมือใหม่ ด้วย SQLite,Apipoj Piasak,"4,4",23,15,34,Principiante,"19,99"
SQL &amp; OPC : ENDÜSTRİYEL İLETİŞİM ARAYÜZÜ,Selçuk Aydınlı,"3,7",23,2,18,Principiante,"14,99"
SQL Bootcamp - Bazy danych SQLite - Part I,Paweł Krakowiak,"4,6",22,55,83,Principiante,"14,99"
SQL Server'da A'dan Z'ye Performans,Yusuf Kahveci,"3,2",21,25,31,Experto,"14,99"
A Arte da MODELAGEM DADOS em DW e SQL PARA INICIANTES,"Juracy Araujo de Almeida Junior, MSc Grimaldo Lopes de Oliveira","3,2",19,10,40,Principiante,"14,99"
SQL server : Le cours complet sur les BACKUP et les RESTORE,"O.Thuillier | SQL | Postgres | Powershell| MySQL |Azure Administration,TSQL, et performance SQL Server.","4,8",18,2,28,Intermedio,"14,99"
Certificação Oracle 220 Exercícios de SQL e SQL Expert,Pedro F Carvalho,"4,4",18,10,22,Todos los niveles,"24,99"
ORACLE PL/SQL Sıfırdan İleri Seviyeye,Tuncay Tiryaki,"4,7",17,17,272,Intermedio,"14,99"
"Linguagem SQL, Programação e Tuning com SQL SERVER.",Wolney Marconi Maia,"4,6",17,40,169,Todos los niveles,"14,99"
BigQuery + Data Studio Grundlagen: Baue dein 1. eigenes DWH,"Thomas Knorr, Alexander Junke","4,4",17,8,96,Principiante,"14,99"
SQL Server : Le cours complet sur les INDEX (3 h de cours),"O.Thuillier | SQL | Postgres | Powershell| MySQL |Azure Administration,TSQL, et performance SQL Server.","4,4",17,3,37,Intermedio,"14,99"
Sistemas Avançados com Visual Basic e SQL,Hugo Vasconcelos,"4,2",16,55,60,Todos los niveles,"14,99"
Corso sulle basi di dati: dallo schema E/R all'SQL,Daniele Masone,"3,2",16,6,33,Principiante,"14,99"
Aprenda SQL ORACLE e TALEND para ETL na PRÁTICA,"Juracy Araujo de Almeida Junior, MSc Grimaldo Lopes de Oliveira","4,3",16,115,40,Principiante,"14,99"
Limbajul SQL si lucrul in Oracle APEX,Irina Mihai,"4,3",16,2,33,Principiante,"14,99"
SQL Server : Découvrez les fonctions de partitionnement.,"O.Thuillier | SQL | Postgres | Powershell| MySQL |Azure Administration,TSQL, et performance SQL Server.","4,3",15,1,12,Principiante,"14,99"
"PostgreSQL,SQL Server, et MySQL pour les (grands) débutants.","O.Thuillier | SQL | Postgres | Powershell| MySQL |Azure Administration,TSQL, et performance SQL Server.","4,9",15,13,201,Principiante,"14,99"
SQL Básico para Engenheira de Dados,Vinicius Vale,"3,8",14,35,37,Principiante,"14,99"
Этичный Веб хакинг (web hacking) для начинающих,Visadi Khalikov,"4,6",14,2,21,Todos los niveles,"14,99"
50 questions pour préparer votre futur entretien sur SQL.,"O.Thuillier | SQL | Postgres | Powershell| MySQL |Azure Administration,TSQL, et performance SQL Server.","4,9",14,3,106,Principiante,"14,99"
SQL e MySQL per principianti,"Alessio Ferrari, Tuttofaredigitale Corsi Online","4,7",14,55,61,Principiante,"14,99"
SQL Server : Il corso Masterclass 2021 (27 ore),"Olivier Thuillier Amministrazione, TSQL e prestazioni del server SQL.","4,1",14,27,381,Principiante,"14,99"
SQL no ORACLE e QLIK SENSE - Aprenda a Dominar os Dados,"Juracy Araujo de Almeida Junior, MSc Grimaldo Lopes de Oliveira","3,9",14,85,39,Principiante,"14,99"
SQL: ничего лишнего,Валерий Жданов,"4,0",13,15,10,Principiante,"14,99"
SQL - Data Analysis mit MySQL - Wochenendseminar,Karsten Brodmann,"4,6",12,55,42,Todos los niveles,"14,99"
SQL Server : Création et modification d'une base de donnée.,"O.Thuillier | SQL | Postgres | Powershell| MySQL |Azure Administration,TSQL, et performance SQL Server.","4,6",12,2,29,Intermedio,"14,99"
Sistema para Clinica Odontológica CSharp e SQL,Hugo Vasconcelos,"3,7",12,5,57,Todos los niveles,"14,99"
